benchmark,scenario,training_regime,model,variant_name,replay_fraction_per_task,replay_size_per_task,layer_idx,task_i,task_j,is_mirror_pair,mean_cosine_similarity,std_cosine_similarity,n
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,0,0,0,0.9999999999999961,2.220446049250313e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,0,1,0,0.8206006119198751,0.029113913855366314,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,0,2,0,0.8344142791988156,0.023820604760390933,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,0,3,1,0.8524514197457448,0.024919306239888396,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,1,0,0,0.8206006119198751,0.029113913855366314,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,1,1,0,0.9999999999999959,1.2412670766236366e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,1,2,1,0.8076612758197967,0.025223650811245103,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,1,3,0,0.8182769944579293,0.025097127155330422,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,2,0,0,0.8344142791988156,0.023820604760390933,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,2,1,1,0.8076612758197967,0.025223650811245103,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,2,2,0,0.9999999999999959,2.9893669801409083e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,2,3,0,0.8293846092962316,0.018327568071766012,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,3,0,1,0.8524514197457448,0.024919306239888396,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,3,1,0,0.8182769944579293,0.025097127155330422,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,3,2,0,0.8293846092962316,0.018327568071766012,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,0,3,3,0,0.9999999999999959,2.2887833992611187e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,0,0,0,0.9999999999999956,2.9893669801409083e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,0,1,0,0.8209154711525708,0.028907809259825556,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,0,2,0,0.8297627752645489,0.023166165710986692,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,0,3,1,0.812239313469971,0.031243355347938782,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,1,0,0,0.8209154711525708,0.028907809259825556,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,1,1,0,0.9999999999999953,2.482534153247273e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,1,2,1,0.8112882637831136,0.03388817479811876,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,1,3,0,0.8135850708295493,0.033164548571160475,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,2,0,0,0.8297627752645489,0.023166165710986692,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,2,1,1,0.8112882637831136,0.03388817479811876,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,2,2,0,0.9999999999999953,4.742874840267547e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,2,3,0,0.8309069155245421,0.029780551258846974,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,3,0,1,0.812239313469971,0.031243355347938782,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,3,1,0,0.8135850708295493,0.033164548571160475,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,3,2,0,0.8309069155245421,0.029780551258846974,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct0_replaysize0,0.0,0,1,3,3,0,0.9999999999999953,6.77599954797753e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,0,0,0,0.9999999999999961,1.7554167342883506e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,0,1,0,0.7912893558806685,0.03021319354591557,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,0,2,0,0.8088193761824789,0.02214545645434071,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,0,3,1,0.834902847367497,0.029378236871737053,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,1,0,0,0.7912893558806685,0.03021319354591557,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,1,1,0,0.9999999999999961,0.0,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,1,2,1,0.7958802458731781,0.027839734002126745,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,1,3,0,0.7997414601251623,0.030852790399069605,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,2,0,0,0.8088193761824789,0.02214545645434071,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,2,1,1,0.7958802458731781,0.027839734002126745,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,2,2,0,0.9999999999999959,3.040470972244059e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,2,3,0,0.8137632525648127,0.01919402172265201,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,3,0,1,0.834902847367497,0.029378236871737053,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,3,1,0,0.7997414601251623,0.030852790399069605,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,3,2,0,0.8137632525648127,0.01919402172265201,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,0,3,3,0,0.9999999999999959,3.597533769998862e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,0,0,0,0.9999999999999959,4.1540741810552243e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,0,1,0,0.8093639143366559,0.02173057783522366,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,0,2,0,0.8222726271221162,0.022959479918047025,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,0,3,1,0.8006150548035134,0.03175643288817883,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,1,0,0,0.8093639143366559,0.02173057783522366,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,1,1,0,0.9999999999999953,4.1168171577819285e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,1,2,1,0.8050082628395601,0.0287307083805471,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,1,3,0,0.8053043509642952,0.030903629907766433,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,2,0,0,0.8222726271221162,0.022959479918047025,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,2,1,1,0.8050082628395601,0.0287307083805471,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,2,2,0,0.9999999999999956,3.090730095650652e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,2,3,0,0.8252438307039969,0.03444610122693955,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,3,0,1,0.8006150548035134,0.03175643288817883,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,3,1,0,0.8053043509642952,0.030903629907766433,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,3,2,0,0.8252438307039969,0.03444610122693955,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct10_replaysize1000,0.1,1000,1,3,3,0,0.9999999999999953,5.978733960281817e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,0,0,0,0.9999999999999962,2.7194799110210365e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,0,1,0,0.7904000621469178,0.028810766870954612,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,0,2,0,0.8062212373058262,0.02810127510588808,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,0,3,1,0.8312950307342837,0.03344289914005645,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,1,0,0,0.7904000621469178,0.028810766870954612,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,1,1,0,0.9999999999999961,1.1102230246251565e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,1,2,1,0.7953885846467832,0.02923813123098258,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,1,3,0,0.8021026837558172,0.03218821626504967,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,2,0,0,0.8062212373058262,0.02810127510588808,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,2,1,1,0.7953885846467832,0.02923813123098258,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,2,2,0,0.9999999999999959,3.764949453935611e-16,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,2,3,0,0.8135993663621519,0.02235110443502775,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,3,0,1,0.8312950307342837,0.03344289914005645,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,3,1,0,0.8021026837558172,0.03218821626504967,5
sdfc,shared_head,sequential,dendritic_affine_separate,dendritic_affine_separate_shared_head_sequential_tasks4_epochs5_hd128-128_lr1e-03_aplr1_apinit4_temp1_replaypct2_replaysize200,0.02,200,0,3,2,0,0.8135993663621519,0.02235110443502775,5
